Vivado Simulator 2016.2
Time resolution is 1 ps
                   0<< Starting the Simulation>>
ERROR: Data A = 000000000000000000000000000000000000000000000000000001, Data B = 000000000000000000000000000000000000000000000000000001, Result = zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz000000000000000000000000
ERROR: Data A = 000000000000000000000000010010000101010011010100100100, Data B = 111111111111111111111111000000100010010101111010000001, Result = zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz101000001110001100100100
ERROR: Data A = 000000000000000000000000010010000101010011010100100100, Data B = 111111111111111111111111000000100010010101111010000001, Result = zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz010010101000111100100100
ERROR: Data A = 111111111111111111111110000100100001001101011000001001, Data B = 111111111111111111111111000000100010010101111010000001, Result = zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz010101111000100010001001
ERROR: Data A = 111111111111111111111110000100100001001101011000001001, Data B = 111111111111111111111110110001111100000101011001100011, Result = zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz010101111000100010001011
ERROR: Data A = 111111111111111111111110000100100001001101011000001001, Data B = 111111111111111111111110110001111100000101011001100011, Result = zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz001001101000101101111011
ERROR: Data A = 000000000000000000000000000110101110010111101100001101, Data B = 111111111111111111111110110001111100000101011001100011, Result = zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz010001101001010000000111
ERROR: Data A = 000000000000000000000001000110110111111001100110001101, Data B = 111111111111111111111110110010110000101000010001100101, Result = zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz001010011111100010100001
ERROR: Data A = 111111111111111111111110001001001101110101001000010010, Data B = 111111111111111111111110110010110000101000010001100101, Result = zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz000010010001100100011010
ERROR: Data A = 111111111111111111111110001001001101110101001000010010, Data B = 000000000000000000000000000000111100111110001100000001, Result = zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz000011011000100000010010
ERROR: Data A = 111111111111111111111110001001001101110101001000010010, Data B = 000000000000000000000000000000111100111110001100000001, Result = zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz000001100011100000010010
ERROR: Data A = 000000000000000000000000000110110101111100110100001101, Data B = 000000000000000000000000000000111100111110001100000001, Result = zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz001001110011010000001101
ERROR: Data A = 000000000000000000000000000110110101111100110100001101, Data B = 000000000000000000000000000000111100111110001100000001, Result = zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz000000000000000000000000
ERROR: Data A = 111111111111111111111111100010111101111000010011000101, Data B = 111111111111111111111111100011001101110010010011000110, Result = zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz000111100101010001011110
